Quantity,Description,Part ID,Part Number,Cost each,Cost Total,Notes
13,0.1uF @ 50V MLCC,"C1-C12,C16",1C10Z5U104M050B,0.10,1.30,
2,22pF @ 50V NPO,"C18,C19",K220J15C0GH53L2,0.13,0.26,
3,68uF @ 10V,"C13,C14,C15",APSA100ELL680MFA5G,0.70,2.10,
1,15uF @ 10V Tantalum,C17,T350E226K010AT,1.60,1.60,
1,475 Ohm 1/8W,R2,270-475-RC,0.13,0.13,
1,3.3K Ohm 1/8W,R1,270-3.3K-RC,0.13,0.13,
1,22K Ohm 1/8W,R3,270-22K-RC,0.13,0.13,
1,3.3K Ohm x 7 Pack,RN1,4608X-101-332LF,0.63,0.63,
1,3.6864MHz Xtal,X1,LFXTAL015747Bulk,0.65,0.65,
1,T1 LED,D1,HLMP-K150,0.56,0.56,
1,750ma Polyfuse,F1,06R075BPR,0.45,0.45,
1,SPDT Toggle Switch,SW1,2AS1T2627-EVX,3.81,3.81,No current stock - see Sub Parts tab
1,3.5mm Power Jack,J1,161-201,,,No longer available - see Sub Parts tab
1,6mm Momentary Switch,SW2,SKRGADD0010,0.18,0.18,
1,6mm Momentary Switch,SW3,SKGRAED0010,0.18,0.18,
1,30-pin Bus Connector,J2,D2530-6002AR,2.83,2.83,
1,3-pin Jumper Block,JP1,22-28-4035,0.18,0.18,
1,2-pin Shunt,JP1-S,390088-1,0.38,0.38,
1,DB9-USB-5M FTDI,U8,DB9-USB-D5-M,15.50,15.50,
1,HC Oscillator Socket,OSC1,535-1108800,1.00,1.00,
1,8-Pin DIP Socket,U5,110-43-308-41-001000,0.97,0.97,
2,"24-Pin 0.3"" DIP Socket","U4,U7",110-43-324-41-001000,2.50,5.00,
2,"28-Pin 0.6"" DIP Socket","U2,U3",110-43-628-41-001000,2.40,4.80,
1,"40-Pin 0.6"" DIP Socket",U1,110-43-640-41-001000,3.71,3.71,
1,4MHz HC Can Oscillator,OSC1,ECS-2100AX-4.0MHZ,2.67,2.67,
1,W65C02S CPU,U1,W65C02S6TPG-14,6.95,6.95,
1,ATF22V10C PLD,U4,ATF22V10CQZ-20PU,2.29,2.29,
1,AT28V256 EEPROM,U3,AT28C256-15PU,6.51,6.51,
1,62256 Static RAM,U2,AS6C62256A-70PCN,2.56,2.56,
1,SCC2691 UART,U7,SCC2691AE1N24,,,Available online - prices vary
1,TL7705B Reset chip,U5,TL7705BIP,0.86,0.86,
1,DS1813 Reset chip,U6,DS1813-15,2.84,2.84,
1,Pocket-SBC PCB,PCB1,C02-SBC V1.00,35.00,35.00,Rough cost. 3 boards for $81 plus shipping
,,,,,,
,Total Cost,,,,$106.16,
