Release 8.1i - Fit P.68d
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 1-13-2015  5:35PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  cpld.ngd
output file: cpld_pad.csv
Part type:   xc9536
Speed grade: -15
Package:     vq44

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,clk,GCK,I/O/GCK3,,,,,,,,,,
P2,addr<18>,I,I/O,INPUT,,,,,,,,,
P3,addr<17>,I,I/O,INPUT,,,,,,,,,
P4,GND,,GND,,,,,,,,,,
P5,_ds,I,I/O,INPUT,,,,,,,,,
P6,rw,I,I/O,INPUT,,,,,,,,,
P7,_dtack,O,I/O,OUTPUT,,,,,,,,,
P8,_halt,O,I/O,OUTPUT,,,,,,,,,
P9,TDI,,TDI,,,,,,,,,,
P10,TMS,,TMS,,,,,,,,,,
P11,TCK,,TCK,,,,,,,,,,
P12,_reset,O,I/O,OUTPUT,,,,,,,,,
P13,_vpa,O,I/O,OUTPUT,,,,,,,,,
P14,_ipl1,O,I/O,OUTPUT,,,,,,,,,
P15,VCC,,VCCINT,,,,,,,,,,
P16,fc0,I,I/O,INPUT,,,,,,,,,
P17,GND,,GND,,,,,,,,,,
P18,_ipl2,I/O,I/O,BIDIR,,,,,,,,,
P19,fc1,I,I/O,INPUT,,,,,,,,,
P20,status_led,I/O,I/O,BIDIR,,,,,,,,,
P21,button,I,I/O,INPUT,,,,,,,,,
P22,_oe,O,I/O,OUTPUT,,,,,,,,,
P23,TIE,,I/O,,,,,,,,,,
P24,TDO,,TDO,,,,,,,,,,
P25,GND,,GND,,,,,,,,,,
P26,VCC,,VCCIO,,,,,,,,,,
P27,TIE,,I/O,,,,,,,,,,
P28,TIE,,I/O,,,,,,,,,,
P29,addr<16>,I,I/O,INPUT,,,,,,,,,
P30,addr<15>,I,I/O,INPUT,,,,,,,,,
P31,addr<14>,I,I/O,INPUT,,,,,,,,,
P32,addr<13>,I,I/O,INPUT,,,,,,,,,
P33,_cerom,O,I/O/GSR,OUTPUT,,,,,,,,,
P34,_ceram,O,I/O/GTS2,OUTPUT,,,,,,,,,
P35,VCC,,VCCINT,,,,,,,,,,
P36,TIE,,I/O/GTS1,,,,,,,,,,
P37,addr<12>,I,I/O,INPUT,,,,,,,,,
P38,_as,I,I/O,INPUT,,,,,,,,,
P39,_rd,O,I/O,OUTPUT,,,,,,,,,
P40,wr,O,I/O,OUTPUT,,,,,,,,,
P41,_rdf,I,I/O,INPUT,,,,,,,,,
P42,addr<19>,I,I/O,INPUT,,,,,,,,,
P43,_txe,I,I/O/GCK1,INPUT,,,,,,,,,
P44,d0,I/O,I/O/GCK2,BIDIR,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


