# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 32-bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: /home/amr/FPGA/TG68MiniSOC/Board/de1/de1pins.csv
# Generated on: Mon Dec 30 14:33:26 2013

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Standard,Current Strength,Fast Input Register,Fast Output Enable Register,Fast Output Register,Weak Pull-Up Resistor
DRAM_BA_0,Unknown,PIN_U3,,,,,,
DRAM_BA_1,Unknown,PIN_V4,,,,,,
DRAM_CAS_N,Unknown,PIN_T3,,,,,,
DRAM_CKE,Unknown,PIN_N3,,,,,,
DRAM_CLK,Unknown,PIN_U4,,,,,,
DRAM_CS_N,Unknown,PIN_T6,,,,,,
DRAM_LDQM,Unknown,PIN_R7,,,,,,
DRAM_RAS_N,Unknown,PIN_T5,,,,,,
DRAM_UDQM,Unknown,PIN_M5,,,,,,
DRAM_WE_N,Unknown,PIN_R8,,,,,,
GPIO_0[0],Unknown,PIN_A13,3.3-V LVTTL,,,,,
GPIO_0[1],Unknown,PIN_B13,3.3-V LVTTL,,,,,
GPIO_0[2],Unknown,PIN_A14,3.3-V LVTTL,,,,,
GPIO_0[3],Unknown,PIN_B14,3.3-V LVTTL,,,,,
GPIO_0[4],Unknown,PIN_A15,3.3-V LVTTL,,,,,
GPIO_0[5],Unknown,PIN_B15,3.3-V LVTTL,,,,,
GPIO_0[6],Unknown,PIN_A16,3.3-V LVTTL,,,,,
GPIO_0[7],Unknown,PIN_B16,3.3-V LVTTL,,,,,
GPIO_0[8],Unknown,PIN_A17,3.3-V LVTTL,,,,,
GPIO_0[9],Unknown,PIN_B17,3.3-V LVTTL,,,,,
GPIO_0[10],Unknown,PIN_A18,3.3-V LVTTL,,,,,
GPIO_0[11],Unknown,PIN_B18,3.3-V LVTTL,,,,,
GPIO_0[12],Unknown,PIN_A19,3.3-V LVTTL,,,,,
GPIO_0[13],Unknown,PIN_B19,3.3-V LVTTL,,,,,
GPIO_0[14],Unknown,PIN_A20,3.3-V LVTTL,,,,,
GPIO_0[15],Unknown,PIN_B20,3.3-V LVTTL,,,,,
GPIO_0[16],Unknown,PIN_C21,3.3-V LVTTL,,,,,
GPIO_0[17],Unknown,PIN_C22,3.3-V LVTTL,,,,,
GPIO_0[18],Unknown,PIN_D21,3.3-V LVTTL,,,,,
GPIO_0[19],Unknown,PIN_D22,3.3-V LVTTL,,,,,
GPIO_0[20],Unknown,PIN_E21,3.3-V LVTTL,,,,,
GPIO_0[21],Unknown,PIN_E22,3.3-V LVTTL,,,,,
GPIO_0[22],Unknown,PIN_F21,3.3-V LVTTL,,,,,
GPIO_0[23],Unknown,PIN_F22,3.3-V LVTTL,,,,,
GPIO_0[24],Unknown,PIN_G21,3.3-V LVTTL,,,,,
GPIO_0[25],Unknown,PIN_G22,3.3-V LVTTL,,,,,
GPIO_0[26],Unknown,PIN_J21,3.3-V LVTTL,,,,,
GPIO_0[27],Unknown,PIN_J22,3.3-V LVTTL,,,,,
GPIO_0[28],Unknown,PIN_K21,3.3-V LVTTL,,,,,
GPIO_0[29],Unknown,PIN_K22,3.3-V LVTTL,,,,,
GPIO_0[30],Unknown,PIN_J19,3.3-V LVTTL,,,,,
GPIO_0[31],Unknown,PIN_J20,3.3-V LVTTL,,,,,
GPIO_0[32],Unknown,PIN_J18,3.3-V LVTTL,,,,,
GPIO_0[33],Unknown,PIN_K20,3.3-V LVTTL,,,,,
GPIO_0[34],Unknown,PIN_L19,3.3-V LVTTL,,,,,
GPIO_0[35],Unknown,PIN_L18,3.3-V LVTTL,,,,,
GPIO_1[0],Unknown,PIN_H12,3.3-V LVTTL,,,,,
GPIO_1[1],Unknown,PIN_H13,3.3-V LVTTL,,,,,
GPIO_1[2],Unknown,PIN_H14,3.3-V LVTTL,,,,,
GPIO_1[3],Unknown,PIN_G15,3.3-V LVTTL,,,,,
GPIO_1[4],Unknown,PIN_E14,3.3-V LVTTL,,,,,
GPIO_1[5],Unknown,PIN_E15,3.3-V LVTTL,,,,,
GPIO_1[6],Unknown,PIN_F15,3.3-V LVTTL,,,,,
GPIO_1[7],Unknown,PIN_G16,3.3-V LVTTL,,,,,
GPIO_1[8],Unknown,PIN_F12,3.3-V LVTTL,,,,,
GPIO_1[9],Unknown,PIN_F13,3.3-V LVTTL,,,,,
GPIO_1[10],Unknown,PIN_C14,3.3-V LVTTL,,,,,
GPIO_1[11],Unknown,PIN_D14,3.3-V LVTTL,,,,,
GPIO_1[12],Unknown,PIN_D15,3.3-V LVTTL,,,,,
GPIO_1[13],Unknown,PIN_D16,3.3-V LVTTL,,,,,
GPIO_1[14],Unknown,PIN_C17,3.3-V LVTTL,,,,,
GPIO_1[15],Unknown,PIN_C18,3.3-V LVTTL,,,,,
GPIO_1[16],Unknown,PIN_C19,3.3-V LVTTL,,,,,
GPIO_1[17],Unknown,PIN_C20,3.3-V LVTTL,,,,,
GPIO_1[18],Unknown,PIN_D19,3.3-V LVTTL,,,,,
GPIO_1[19],Unknown,PIN_D20,3.3-V LVTTL,,,,,
GPIO_1[20],Unknown,PIN_E20,3.3-V LVTTL,,,,,
GPIO_1[21],Unknown,PIN_F20,3.3-V LVTTL,,,,,
GPIO_1[22],Unknown,PIN_E19,3.3-V LVTTL,,,,,
GPIO_1[23],Unknown,PIN_E18,3.3-V LVTTL,,,,,
GPIO_1[24],Unknown,PIN_G20,3.3-V LVTTL,,,,,
GPIO_1[25],Unknown,PIN_G18,3.3-V LVTTL,,,,,
GPIO_1[26],Unknown,PIN_G17,3.3-V LVTTL,,,,,
GPIO_1[27],Unknown,PIN_H17,3.3-V LVTTL,,,,,
GPIO_1[28],Unknown,PIN_J15,3.3-V LVTTL,,,,,
GPIO_1[29],Unknown,PIN_H18,3.3-V LVTTL,,,,,
GPIO_1[30],Unknown,PIN_N22,3.3-V LVTTL,,,,,
GPIO_1[31],Unknown,PIN_N21,3.3-V LVTTL,,,,,
GPIO_1[32],Unknown,PIN_P15,3.3-V LVTTL,,,,,
GPIO_1[33],Unknown,PIN_N15,3.3-V LVTTL,,,,,
GPIO_1[34],Unknown,PIN_P17,3.3-V LVTTL,,,,,
GPIO_1[35],Unknown,PIN_P18,3.3-V LVTTL,,,,,
SW[0],Unknown,PIN_L22,3.3-V LVTTL,,,,,
SW[1],Unknown,PIN_L21,3.3-V LVTTL,,,,,
SW[2],Unknown,PIN_M22,3.3-V LVTTL,,,,,
SW[3],Unknown,PIN_V12,3.3-V LVTTL,,,,,
SW[4],Unknown,PIN_W12,3.3-V LVTTL,,,,,
SW[5],Unknown,PIN_U12,3.3-V LVTTL,,,,,
SW[6],Unknown,PIN_U11,3.3-V LVTTL,,,,,
SW[7],Unknown,PIN_M2,3.3-V LVTTL,,,,,
SW[8],Unknown,PIN_M1,3.3-V LVTTL,,,,,
SW[9],Unknown,PIN_L2,3.3-V LVTTL,,,,,
HEX0[0],Unknown,PIN_J2,3.3-V LVTTL,,,,,
HEX0[1],Unknown,PIN_J1,3.3-V LVTTL,,,,,
