# Copyright (C) 2021  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 21.1.0 Build 842 10/21/2021 SJ Lite Edition
# File: C:\Users\HPz420\Documents\GitHub\Doug Gilliland\Retro-Computers\68000\TG68_AMR\TG68_AMR_FPGA\SOC\fpga\QMTECH_CycloneIV_Starter_Kit\SOC.csv
# Generated on: Sun Apr 17 20:28:48 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Weak Pull-Up Resistor
aud_l,Output,PIN_B16,7,B7_N1,PIN_B16,3.3-V LVTTL,,,,
aud_r,Output,PIN_A16,7,B7_N1,PIN_A16,3.3-V LVTTL,,,,
clk_50,Input,PIN_T2,2,B2_N0,PIN_T2,3.3-V LVTTL,,,,
io_sdram_data[15],Bidir,PIN_V11,3,B3_N0,PIN_V11,3.3-V LVTTL,,,,
io_sdram_data[14],Bidir,PIN_W10,3,B3_N0,PIN_W10,3.3-V LVTTL,,,,
io_sdram_data[13],Bidir,PIN_Y10,3,B3_N0,PIN_Y10,3.3-V LVTTL,,,,
io_sdram_data[12],Bidir,PIN_V10,3,B3_N0,PIN_V10,3.3-V LVTTL,,,,
io_sdram_data[11],Bidir,PIN_V9,3,B3_N0,PIN_V9,3.3-V LVTTL,,,,
io_sdram_data[10],Bidir,PIN_Y8,3,B3_N0,PIN_Y8,3.3-V LVTTL,,,,
io_sdram_data[9],Bidir,PIN_W8,3,B3_N0,PIN_W8,3.3-V LVTTL,,,,
io_sdram_data[8],Bidir,PIN_Y7,3,B3_N0,PIN_Y7,3.3-V LVTTL,,,,
io_sdram_data[7],Bidir,PIN_AB5,3,B3_N1,PIN_AB5,3.3-V LVTTL,,,,
io_sdram_data[6],Bidir,PIN_AA7,3,B3_N0,PIN_AA7,3.3-V LVTTL,,,,
io_sdram_data[5],Bidir,PIN_AB7,3,B3_N0,PIN_AB7,3.3-V LVTTL,,,,
io_sdram_data[4],Bidir,PIN_AA8,3,B3_N0,PIN_AA8,3.3-V LVTTL,,,,
io_sdram_data[3],Bidir,PIN_AB8,3,B3_N0,PIN_AB8,3.3-V LVTTL,,,,
io_sdram_data[2],Bidir,PIN_AA9,3,B3_N0,PIN_AA9,3.3-V LVTTL,,,,
io_sdram_data[1],Bidir,PIN_AB9,3,B3_N0,PIN_AB9,3.3-V LVTTL,,,,
io_sdram_data[0],Bidir,PIN_AA10,3,B3_N0,PIN_AA10,3.3-V LVTTL,,,,
leds[3],Output,PIN_B21,6,B6_N0,PIN_B21,3.3-V LVTTL,,,,
leds[2],Output,PIN_B22,6,B6_N0,PIN_B22,3.3-V LVTTL,,,,
leds[1],Output,PIN_C21,6,B6_N0,PIN_C21,3.3-V LVTTL,,,,
leds[0],Output,PIN_C22,6,B6_N0,PIN_C22,3.3-V LVTTL,,,,
