Reference, Value, Footprint, Datasheet
"D9","RED","LEDs:LED_D5.0mm",""
"D8","RED","LEDs:LED_D5.0mm",""
"D7","RED","LEDs:LED_D5.0mm",""
"D6","RED","LEDs:LED_D5.0mm",""
"D5","RED","LEDs:LED_D5.0mm",""
"D4","RED","LEDs:LED_D5.0mm",""
"D3","RED","LEDs:LED_D5.0mm",""
"D2","RED","LEDs:LED_D5.0mm",""
"R16","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R17","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R18","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R19","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R20","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R21","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R22","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R23","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R15","10K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R14","10K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R13","10K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R12","10K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R11","10K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R10","10K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R9","10K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R8","10K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"J1","USB_B","Connectors:USB_B",""
"C24","10µF","Capacitors_THT:CP_Radial_D5.0mm_P2.00mm",""
"U1","LM555","Housings_DIP:DIP-8_W7.62mm",""
"R1","1K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R3","1K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R6","1K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R5","1K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R4","1M","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"RV1","1M","8bit-custom-footprints:Potentiometer-5.5mm",""
"C5","0.01µF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C2","0.01µF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C4","0.01µF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C3","0.1µF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C6","1µF","Capacitors_THT:CP_Radial_D5.0mm_P2.00mm",""
"U3","LM555","Housings_DIP:DIP-8_W7.62mm",""
"U2","LM555","Housings_DIP:DIP-8_W7.62mm",""
"U4","74LS04","Housings_DIP:DIP-14_W7.62mm",""
"U5","74LS08","Housings_DIP:DIP-14_W7.62mm",""
"U6","74LS32","Housings_DIP:DIP-14_W7.62mm",""
"SW2","SW_SPDT","8bit-custom-footprints:DPDT-pushbutton",""
"SW1","SW_Push","Buttons_Switches_THT:SW_PUSH_6mm",""
"D1","BLUE","LEDs:LED_D5.0mm",""
"R7","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"C1","0.1µF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"R2","1K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"C10","0.1µF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"U8","74LS173","Housings_DIP:DIP-16_W7.62mm",""
"U9","74LS173","Housings_DIP:DIP-16_W7.62mm",""
"U7","74LS245","Housings_DIP:DIP-20_W7.62mm",""
"D10","RED","LEDs:LED_D5.0mm",""
"D11","RED","LEDs:LED_D5.0mm",""
"D12","RED","LEDs:LED_D5.0mm",""
"D13","RED","LEDs:LED_D5.0mm",""
"D14","RED","LEDs:LED_D5.0mm",""
"D15","RED","LEDs:LED_D5.0mm",""
"D16","RED","LEDs:LED_D5.0mm",""
"D17","RED","LEDs:LED_D5.0mm",""
"R24","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R25","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R26","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R27","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R28","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R29","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R30","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R31","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"C11","0.1µF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
