P4-Pin,Port,BASE-EP4CE6,Color ,P4-Pin,Port,BASE-EP4CE6,Color 
1,GND,,,2,3.3V,,
3,60,LED_DS1,GRY ,4,59,,
5,65,VGA_BLU_LO,BLU ,6,64,VGA_BLU_HI,BLU 
7,67,VGA_GRN_LO,GRN ,8,66,VGA_GRN_HI,GRN 
9,69,VGA_RED_LO,RED ,10,68,VGA_RED_HI,RED 
11,71,VGA_HSYNC,GRY ,12,70,VGA_VSYNC,WHT 
13,73,SD_CLK ,ORG ,14,72,SD_CD ,WHT 
15,75,SD_DATA0 ,BRN ,16,74,SD_CMD ,GRY 
17,77,PS2_CLK ,ORG ,18,76,PS2_DATA ,YEL 
19,83,,,20,80,,
21,85,,,22,84,,
23,GND,,,24,NC,,
25,87,,,26,86,,
27,99,,,28,98,,
29,101,,,30,100,,
31,104,,,32,103,,
33,106,,,34,105,,
35,111,,,36,110,,
37,113,,,38,112,,
39,115,,,40,114,,
41,120,,,42,119,,
43,124,,,44,121,,
