Function,EP2_Pin,EP2_P1-Pin,Cable,Color,EP4_Px-Pin,EP4_Pin
LED_DS1,53,P1-11,W1,GRY,P4-3,60
VGA_BLU_LO,63,P1-17,W1,BLU,P4-5,65
VGA_BLU_HI,64,P1-18,W1,BLU,P4-6,64
VGA_GRN_LO,67,P1-20,W1,GRN,P4-7,67
VGA_GRN_HI,65,P1-19,W1,GRN,P4-8,66
VGA_RED_LO,70,P1-22,W1,RED,P4-9,69
VGA_RED_HI,69,P1-21,W1,RED,P4-10,68
VGA_VSYNC,72,P1-24,W1,WHT,P4-11,71
VGA_HSYNC,71,P1-23,W1,GRY,P4-12,70
PS2_CLK,86,P2-10,W1,ORG,P4-17,77
PS2_DATA,87,P2-11,W1,YEL,P4-18,76
SD_CLK,94,P2-18,W1,ORG,P4-13,73
SD_CD,97,P2-20,W1,WHT,P4-14,72
SD_DATA0,92,P2-16,W1,BRN,P4-15,75
SD_CMD,93,P2-17,W1,GRY,P4-16,74
SRAM_A0,121,P3-10,W2,GRY,P3-42,135
SRAM_A1,125,P3-12,W2,BLU,P3-40,137
SRAM_A2,129,P3-14,W2,YEL,P3-38,141
SRAM_A3,133,P3-16,W2,BRN,P3-36,143
SRAM_A4,135,P3-18,W2,GRY,P3-34,50
SRAM_A5,137,P3-20,W2,BLU,P3-26,28
SRAM_A6,141,P3-22,W2,YEL,P3-20,31
SRAM_A7,143,P3-24,W2,BRN,P3-18,33
SRAM_A8,142,P3-23,W2,ORG,P3-17,34
SRAM_A9,139,P3-21,W2,GRN,P3-19,32
SRAM_A10,132,P3-15,W2,ORG,P3-35,144
SRAM_A11,136,P3-19,W2,VIO,P3-25,30
SRAM_A12,28,P4-16,W3,GRN,P3-11,46
SRAM_A13,24,P4-13,W3,VIO,P3-13,43
SRAM_A14,30,P4-15,W3,BLU,P3-14,42
SRAM_A15,8,P4-6,W3,GRY,P3-16,38
SRAM_A16,32,P4-23,W3,YEL,P3-12,44
SRAM_D0,119,P3-8,W2,BRN,P3-44,132
SRAM_D1,115,P3-6,W2,YEL,P3-46,128
SRAM_D2,113,P3-4,W2,BLU,P3-48,126
SRAM_D3,112,P3-3,W2,VIO,P3-47,127
SRAM_D4,114,P3-5,W2,GRN,P3-45,129
SRAM_D5,118,P3-7,W2,ORG,P3-43,133
SRAM_D6,120,P3-9,W2,WHT,P3-41,136
SRAM_D7,122,P3-11,W2,VIO,P3-39,138
SRAM_CS1n,126,P3-13,W2,GRN,P3-37,142
SRAM_OEn,134,P3-17,W2,WHT,P3-33,2
SRAM_WEn,4,P4-4,W2,WHT,P3-15,39
RXD1,101,P2-23,,BRN,P3-8,51
TXD1,103,P2-23,,ORG,P3-7,52
RTS1,104,P2-25,,GRN,P3-6,53
RXD2,99,P2-21,,ORG,P3-5,54
TXD2,100,P2-22,,VIO,P3-4,55
RTS2,96,P2-19,,GRN,P3-3,58
SD_CD,97,P2-20,,,,
SD_CMD,93,P2-17,,,,
SD_CLK,94,P2-18,,,,
SD_DAT0,92,P2-16,,,,
GND,,,,BLK,P4-1,
GND,,,,BLK,P4-23,
GND,,,,BLK,,
GND,,,,BLK,P3-23,
GND,,,,BLK,P3-1,
3.3V,,,,RED,,
3.3V,,,,RED,,
3.3V,,,,RED,,
