To,Direction,Location,I/O Standard,Pull-Up
clkin,Input,PIN_M9,3.3-V LVTTL,
cts1,Input,PIN_N19,3.3-V LVTTL,
dram_addr[12],Output,PIN_Y9,3.3-V LVTTL,
dram_addr[11],Output,PIN_T9,3.3-V LVTTL,
dram_addr[10],Output,PIN_R6,3.3-V LVTTL,
dram_addr[9],Output,PIN_W8,3.3-V LVTTL,
dram_addr[8],Output,PIN_T8,3.3-V LVTTL,
dram_addr[7],Output,PIN_U8,3.3-V LVTTL,
dram_addr[6],Output,PIN_V6,3.3-V LVTTL,
dram_addr[5],Output,PIN_U7,3.3-V LVTTL,
dram_addr[4],Output,PIN_U6,3.3-V LVTTL,
dram_addr[3],Output,PIN_N6,3.3-V LVTTL,
dram_addr[2],Output,PIN_N8,3.3-V LVTTL,
dram_addr[1],Output,PIN_P7,3.3-V LVTTL,
dram_addr[0],Output,PIN_P8,3.3-V LVTTL,
dram_ba_0,Output,PIN_T7,3.3-V LVTTL,
dram_ba_1,Output,PIN_P9,3.3-V LVTTL,
dram_cas_n,Output,PIN_AA7,3.3-V LVTTL,
dram_cke,Output,PIN_V9,3.3-V LVTTL,
dram_clk,Output,PIN_AB11,3.3-V LVTTL,
dram_cs_n,Output,PIN_AB5,3.3-V LVTTL,
dram_dq[15],Bidir,PIN_P12,3.3-V LVTTL,
dram_dq[14],Bidir,PIN_R12,3.3-V LVTTL,
dram_dq[13],Bidir,PIN_U12,3.3-V LVTTL,
dram_dq[12],Bidir,PIN_R11,3.3-V LVTTL,
dram_dq[11],Bidir,PIN_R10,3.3-V LVTTL,
dram_dq[10],Bidir,PIN_U11,3.3-V LVTTL,
dram_dq[9],Bidir,PIN_T10,3.3-V LVTTL,
dram_dq[8],Bidir,PIN_U10,3.3-V LVTTL,
dram_dq[7],Bidir,PIN_AA8,3.3-V LVTTL,
dram_dq[6],Bidir,PIN_AB8,3.3-V LVTTL,
dram_dq[5],Bidir,PIN_AA9,3.3-V LVTTL,
dram_dq[4],Bidir,PIN_Y10,3.3-V LVTTL,
dram_dq[3],Bidir,PIN_AB10,3.3-V LVTTL,
dram_dq[2],Bidir,PIN_AA10,3.3-V LVTTL,
dram_dq[1],Bidir,PIN_Y11,3.3-V LVTTL,
dram_dq[0],Bidir,PIN_AA12,3.3-V LVTTL,
dram_ldqm,Output,PIN_AB7,3.3-V LVTTL,
dram_ras_n,Output,PIN_AB6,3.3-V LVTTL,
dram_udqm,Output,PIN_V10,3.3-V LVTTL,
dram_we_n,Output,PIN_W9,3.3-V LVTTL,
greenled[4],Output,PIN_U20,3.3-V LVTTL,
greenled[3],Output,PIN_R22,3.3-V LVTTL,
greenled[2],Output,PIN_T22,3.3-V LVTTL,
greenled[1],Output,PIN_P22,3.3-V LVTTL,
greenled[0],Output,PIN_R21,3.3-V LVTTL,
ps2k_c,Input,PIN_AA2,3.3-V LVTTL,
ps2k_d,Input,PIN_AA1,3.3-V LVTTL,
resetbtn,Input,PIN_M22,3.3-V LVTTL,on
rts1,Output,PIN_M18,3.3-V LVTTL,
rx1,Input,PIN_L19,3.3-V LVTTL,
sdcard_cs,Output,PIN_B15,3.3-V LVTTL,
sdcard_miso,Input,PIN_B16,3.3-V LVTTL,
sdcard_mosi,Output,PIN_C15,3.3-V LVTTL,
sdcard_sclk,Output,PIN_C16,3.3-V LVTTL,
sw[5],Input,PIN_N16,3.3-V LVTTL,
sw[4],Input,PIN_M16,3.3-V LVTTL,
sw[3],Input,PIN_K21,3.3-V LVTTL,
sw[2],Input,PIN_K22,3.3-V LVTTL,
sw[1],Input,PIN_K17,3.3-V LVTTL,
sw[0],Input,PIN_L17,3.3-V LVTTL,
tx1,Output,PIN_L18,3.3-V LVTTL,
vgab[1],Output,PIN_A13,3.3-V LVTTL,
vgab[0],Output,PIN_B13,3.3-V LVTTL,
vgag[1],Output,PIN_C13,3.3-V LVTTL,
vgag[0],Output,PIN_D13,3.3-V LVTTL,
vgah,Output,PIN_A15,3.3-V LVTTL,
vgar[1],Output,PIN_D12,3.3-V LVTTL,
vgar[0],Output,PIN_E12,3.3-V LVTTL,
vgav,Output,PIN_A14,3.3-V LVTTL,
xu_cs,Output,PIN_T20,3.3-V LVTTL,
xu_debug_tx,Output,PIN_P17,3.3-V LVTTL,
xu_miso,Input,PIN_P16,3.3-V LVTTL,
xu_mosi,Output,PIN_N21,3.3-V LVTTL,
xu_sclk,Output,PIN_N20,3.3-V LVTTL,
