+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                ;
+--------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                            ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+--------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; vt0|ps20                             ; 69    ; 27             ; 15           ; 27             ; 27     ; 27              ; 27            ; 27              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vt0|vgacr0                           ; 64    ; 18             ; 0            ; 18             ; 101    ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vt0|vga0|font                        ; 17    ; 0              ; 1            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vt0|vga0                             ; 152   ; 22             ; 9            ; 22             ; 21     ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vt0|vtbr0                            ; 57    ; 18             ; 2            ; 18             ; 17     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vt0|kl0                              ; 100   ; 39             ; 8            ; 39             ; 29     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vt0|cr0                              ; 94    ; 36             ; 0            ; 36             ; 68     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vt0|mmu0                             ; 197   ; 145            ; 12           ; 145            ; 167    ; 145             ; 145           ; 145             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vt0|cpu0|fpuregs0                    ; 73    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vt0|cpu0|cpuregs0                    ; 31    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vt0|cpu0                             ; 186   ; 174            ; 17           ; 174            ; 178    ; 174             ; 174           ; 174             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vt0                                  ; 53    ; 76             ; 0            ; 76             ; 34     ; 76              ; 76            ; 76              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|mncdo0                         ; 70    ; 27             ; 1            ; 27             ; 45     ; 27              ; 27            ; 27              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|mncdi0                         ; 86    ; 27             ; 1            ; 27             ; 30     ; 27              ; 27            ; 27              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
