# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.0 Build 711 06/05/2020 SJ Lite Edition
# File: C:\Users\HPz420\Documents\GitHub\Doug Gilliland\Retro-Computers\PDP-11\PDP2011\pdp2011\EP4CE15_CycloneV\top.csv
# Generated on: Sat Feb 27 15:37:17 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
max7219_data,Output,PIN_P22,5A,B5A_N0,PIN_M20,,,,,,,,,,,,,,
max7219_clock,Output,PIN_R21,5A,B5A_N0,PIN_R17,,,,,,,,,,,,,,
o_vgab[1],Output,PIN_A13,7A,B7A_N0,PIN_A13,3.3-V LVTTL,,,,,,,,,,,,,
vgav,Output,PIN_A14,7A,B7A_N0,PIN_A14,3.3-V LVTTL,,,,,,,,,,,,,
vgah,Output,PIN_A15,7A,B7A_N0,PIN_A15,3.3-V LVTTL,,,,,,,,,,,,,
ps2k_d,Input,PIN_AA1,2A,B2A_N0,PIN_AA1,3.3-V LVTTL,,,,,,,,,,,,,
ps2k_c,Input,PIN_AA2,2A,B2A_N0,PIN_AA2,3.3-V LVTTL,,,,,,,,,,,,,
dram_cas_n,Output,PIN_AA7,3B,B3B_N0,PIN_AA7,3.3-V LVTTL,,,,,,,,,,,,,
dram_dq[7],Bidir,PIN_AA8,3B,B3B_N0,PIN_AA8,3.3-V LVTTL,,,,,,,,,,,,,
dram_dq[5],Bidir,PIN_AA9,3B,B3B_N0,PIN_AA9,3.3-V LVTTL,,,,,,,,,,,,,
dram_dq[2],Bidir,PIN_AA10,3B,B3B_N0,PIN_AA10,3.3-V LVTTL,,,,,,,,,,,,,
dram_dq[0],Bidir,PIN_AA12,3B,B3B_N0,PIN_AA12,3.3-V LVTTL,,,,,,,,,,,,,
dram_cs_n,Output,PIN_AB5,3B,B3B_N0,PIN_AB5,3.3-V LVTTL,,,,,,,,,,,,,
